Processing problem size: 100
Please wait, computing 10000 TSP100 instances...
[1/10000] Instance: TSP100_0, dim: 100, BKS: 7.4015, NN cost: 9.1535, GAP: 23.6711%
[161/10000] Instance: TSP100_160, dim: 100, BKS: 7.6552, NN cost: 9.0858, GAP: 18.6882%
[162/10000] Instance: TSP100_161, dim: 100, BKS: 7.8795, NN cost: 10.3001, GAP: 30.7199%
[163/10000] Instance: TSP100_162, dim: 100, BKS: 7.8765, NN cost: 10.5827, GAP: 34.3575%
[164/10000] Instance: TSP100_163, dim: 100, BKS: 7.4246, NN cost: 9.4415, GAP: 27.1643%
[165/10000] Instance: TSP100_164, dim: 100, BKS: 7.4440, NN cost: 8.9822, GAP: 20.6638%
[166/10000] Instance: TSP100_165, dim: 100, BKS: 8.0608, NN cost: 10.5120, GAP: 30.4093%
[167/10000] Instance: TSP100_166, dim: 100, BKS: 7.9472, NN cost: 9.3595, GAP: 17.7714%
[168/10000] Instance: TSP100_167, dim: 100, BKS: 8.0032, NN cost: 9.6978, GAP: 21.1732%
[169/10000] Instance: TSP100_168, dim: 100, BKS: 7.9309, NN cost: 10.0769, GAP: 27.0594%
[170/10000] Instance: TSP100_169, dim: 100, BKS: 7.8845, NN cost: 9.2585, GAP: 17.4258%
[171/10000] Instance: TSP100_170, dim: 100, BKS: 7.7163, NN cost: 9.6557, GAP: 25.1325%
[172/10000] Instance: TSP100_171, dim: 100, BKS: 7.9253, NN cost: 9.8961, GAP: 24.8667%
[173/10000] Instance: TSP100_172, dim: 100, BKS: 7.9692, NN cost: 10.3616, GAP: 30.0216%
[174/10000] Instance: TSP100_173, dim: 100, BKS: 7.5601, NN cost: 10.3028, GAP: 36.2785%
[175/10000] Instance: TSP100_174, dim: 100, BKS: 7.2078, NN cost: 9.2062, GAP: 27.7256%
[176/10000] Instance: TSP100_175, dim: 100, BKS: 7.6284, NN cost: 9.7334, GAP: 27.5938%
[177/10000] Instance: TSP100_176, dim: 100, BKS: 7.4071, NN cost: 8.8168, GAP: 19.0321%
[178/10000] Instance: TSP100_177, dim: 100, BKS: 7.8450, NN cost: 9.5814, GAP: 22.1335%
[179/10000] Instance: TSP100_178, dim: 100, BKS: 7.9905, NN cost: 10.2075, GAP: 27.7448%
[180/10000] Instance: TSP100_179, dim: 100, BKS: 8.0802, NN cost: 9.9597, GAP: 23.2601%
[181/10000] Instance: TSP100_180, dim: 100, BKS: 7.8049, NN cost: 9.9772, GAP: 27.8313%
[182/10000] Instance: TSP100_181, dim: 100, BKS: 7.6345, NN cost: 9.0039, GAP: 17.9360%
[183/10000] Instance: TSP100_182, dim: 100, BKS: 7.5616, NN cost: 9.3279, GAP: 23.3594%
[184/10000] Instance: TSP100_183, dim: 100, BKS: 7.3660, NN cost: 9.3982, GAP: 27.5883%
[185/10000] Instance: TSP100_184, dim: 100, BKS: 7.9802, NN cost: 9.9746, GAP: 24.9914%
[186/10000] Instance: TSP100_185, dim: 100, BKS: 7.9070, NN cost: 10.0422, GAP: 27.0042%
[187/10000] Instance: TSP100_186, dim: 100, BKS: 8.1259, NN cost: 10.4159, GAP: 28.1806%
[188/10000] Instance: TSP100_187, dim: 100, BKS: 7.6989, NN cost: 9.5961, GAP: 24.6429%
[189/10000] Instance: TSP100_188, dim: 100, BKS: 7.9056, NN cost: 10.2607, GAP: 29.7907%
[190/10000] Instance: TSP100_189, dim: 100, BKS: 8.1327, NN cost: 10.9824, GAP: 35.0395%
[191/10000] Instance: TSP100_190, dim: 100, BKS: 7.9530, NN cost: 10.0642, GAP: 26.5455%
[192/10000] Instance: TSP100_191, dim: 100, BKS: 7.7902, NN cost: 9.1000, GAP: 16.8144%
[193/10000] Instance: TSP100_192, dim: 100, BKS: 7.7706, NN cost: 8.6621, GAP: 11.4731%
[194/10000] Instance: TSP100_193, dim: 100, BKS: 7.8969, NN cost: 9.6354, GAP: 22.0152%
[195/10000] Instance: TSP100_194, dim: 100, BKS: 7.9333, NN cost: 10.9255, GAP: 37.7159%
[196/10000] Instance: TSP100_195, dim: 100, BKS: 7.7156, NN cost: 9.3815, GAP: 21.5913%
[197/10000] Instance: TSP100_196, dim: 100, BKS: 7.9354, NN cost: 9.3912, GAP: 18.3456%
[198/10000] Instance: TSP100_197, dim: 100, BKS: 7.4133, NN cost: 9.4830, GAP: 27.9194%
[199/10000] Instance: TSP100_198, dim: 100, BKS: 7.6791, NN cost: 9.3925, GAP: 22.3132%
[200/10000] Instance: TSP100_199, dim: 100, BKS: 7.3405, NN cost: 9.5546, GAP: 30.1632%
[201/10000] Instance: TSP100_200, dim: 100, BKS: 7.6962, NN cost: 9.3649, GAP: 21.6820%
[202/10000] Instance: TSP100_201, dim: 100, BKS: 7.5328, NN cost: 9.8707, GAP: 31.0375%
[203/10000] Instance: TSP100_202, dim: 100, BKS: 7.9390, NN cost: 10.4450, GAP: 31.5652%
[204/10000] Instance: TSP100_203, dim: 100, BKS: 7.4314, NN cost: 9.1558, GAP: 23.2034%
[205/10000] Instance: TSP100_204, dim: 100, BKS: 7.5499, NN cost: 8.9101, GAP: 18.0159%
[206/10000] Instance: TSP100_205, dim: 100, BKS: 8.2330, NN cost: 9.0748, GAP: 10.2251%
[207/10000] Instance: TSP100_206, dim: 100, BKS: 7.4843, NN cost: 9.6459, GAP: 28.8814%
[208/10000] Instance: TSP100_207, dim: 100, BKS: 7.3802, NN cost: 8.7959, GAP: 19.1811%
[209/10000] Instance: TSP100_208, dim: 100, BKS: 7.8476, NN cost: 9.4428, GAP: 20.3273%
[210/10000] Instance: TSP100_209, dim: 100, BKS: 7.8358, NN cost: 9.9454, GAP: 26.9217%
[211/10000] Instance: TSP100_210, dim: 100, BKS: 7.8587, NN cost: 9.9867, GAP: 27.0784%
[212/10000] Instance: TSP100_211, dim: 100, BKS: 7.1108, NN cost: 9.0247, GAP: 26.9150%
[213/10000] Instance: TSP100_212, dim: 100, BKS: 7.7699, NN cost: 9.8640, GAP: 26.9521%
[214/10000] Instance: TSP100_213, dim: 100, BKS: 7.6993, NN cost: 9.9169, GAP: 28.8030%
[215/10000] Instance: TSP100_214, dim: 100, BKS: 7.6656, NN cost: 10.4400, GAP: 36.1934%
[216/10000] Instance: TSP100_215, dim: 100, BKS: 7.7426, NN cost: 10.0475, GAP: 29.7686%
[217/10000] Instance: TSP100_216, dim: 100, BKS: 7.7039, NN cost: 9.7000, GAP: 25.9095%
[218/10000] Instance: TSP100_217, dim: 100, BKS: 8.3414, NN cost: 10.1702, GAP: 21.9233%
[219/10000] Instance: TSP100_218, dim: 100, BKS: 7.9966, NN cost: 9.5716, GAP: 19.6962%
[220/10000] Instance: TSP100_219, dim: 100, BKS: 7.3942, NN cost: 8.6787, GAP: 17.3718%
[221/10000] Instance: TSP100_220, dim: 100, BKS: 7.6217, NN cost: 9.9213, GAP: 30.1720%
[222/10000] Instance: TSP100_221, dim: 100, BKS: 8.2655, NN cost: 11.0371, GAP: 33.5316%
[223/10000] Instance: TSP100_222, dim: 100, BKS: 8.0310, NN cost: 9.3749, GAP: 16.7340%
[224/10000] Instance: TSP100_223, dim: 100, BKS: 8.0021, NN cost: 9.9030, GAP: 23.7545%
[225/10000] Instance: TSP100_224, dim: 100, BKS: 7.6158, NN cost: 9.7940, GAP: 28.6013%
[226/10000] Instance: TSP100_225, dim: 100, BKS: 7.5905, NN cost: 9.0124, GAP: 18.7320%
[227/10000] Instance: TSP100_226, dim: 100, BKS: 7.9913, NN cost: 9.6832, GAP: 21.1715%
[228/10000] Instance: TSP100_227, dim: 100, BKS: 8.0731, NN cost: 10.1297, GAP: 25.4750%
[229/10000] Instance: TSP100_228, dim: 100, BKS: 7.6539, NN cost: 9.2061, GAP: 20.2794%
[230/10000] Instance: TSP100_229, dim: 100, BKS: 7.9295, NN cost: 10.1280, GAP: 27.7261%
[231/10000] Instance: TSP100_230, dim: 100, BKS: 7.9017, NN cost: 9.6777, GAP: 22.4752%
[232/10000] Instance: TSP100_231, dim: 100, BKS: 7.6610, NN cost: 9.6043, GAP: 25.3656%
[233/10000] Instance: TSP100_232, dim: 100, BKS: 7.5124, NN cost: 9.9359, GAP: 32.2588%
[234/10000] Instance: TSP100_233, dim: 100, BKS: 7.6452, NN cost: 10.1402, GAP: 32.6343%
[235/10000] Instance: TSP100_234, dim: 100, BKS: 7.5237, NN cost: 10.3273, GAP: 37.2638%
[236/10000] Instance: TSP100_235, dim: 100, BKS: 7.5869, NN cost: 9.2955, GAP: 22.5204%
[237/10000] Instance: TSP100_236, dim: 100, BKS: 7.7284, NN cost: 10.2119, GAP: 32.1353%
[238/10000] Instance: TSP100_237, dim: 100, BKS: 7.9735, NN cost: 10.1229, GAP: 26.9563%
[239/10000] Instance: TSP100_238, dim: 100, BKS: 7.8514, NN cost: 10.0370, GAP: 27.8366%
[240/10000] Instance: TSP100_239, dim: 100, BKS: 7.9170, NN cost: 10.5845, GAP: 33.6940%
[241/10000] Instance: TSP100_240, dim: 100, BKS: 7.6979, NN cost: 9.0823, GAP: 17.9846%
[242/10000] Instance: TSP100_241, dim: 100, BKS: 8.2915, NN cost: 10.4930, GAP: 26.5506%
[243/10000] Instance: TSP100_242, dim: 100, BKS: 7.4354, NN cost: 8.6431, GAP: 16.2432%
[244/10000] Instance: TSP100_243, dim: 100, BKS: 7.8531, NN cost: 9.2193, GAP: 17.3972%
[245/10000] Instance: TSP100_244, dim: 100, BKS: 8.0460, NN cost: 9.7085, GAP: 20.6624%
[246/10000] Instance: TSP100_245, dim: 100, BKS: 7.6700, NN cost: 9.6739, GAP: 26.1274%
[247/10000] Instance: TSP100_246, dim: 100, BKS: 7.7200, NN cost: 9.0697, GAP: 17.4825%
[248/10000] Instance: TSP100_247, dim: 100, BKS: 7.7623, NN cost: 10.8777, GAP: 40.1344%
[249/10000] Instance: TSP100_248, dim: 100, BKS: 7.8981, NN cost: 9.9946, GAP: 26.5446%
[250/10000] Instance: TSP100_249, dim: 100, BKS: 8.0599, NN cost: 9.5830, GAP: 18.8972%
[251/10000] Instance: TSP100_250, dim: 100, BKS: 7.8261, NN cost: 10.1847, GAP: 30.1385%
[252/10000] Instance: TSP100_251, dim: 100, BKS: 8.2447, NN cost: 10.3282, GAP: 25.2702%
